id_asegurado,nombre_completo,documento_identidad,telefono,correo_electronico,fecha_registro,segmento,antiguedad_meses,ciudad,numero_polizas,reclamos_ultimos_12_meses,mora_actual,lista_restrictiva
ase-d72ee42d,FELICIANA DANI AMAYA LLOPIS,0913356886,0989228452,jacintochaparro@example.net,2025-10-15T09:47:46.515327+00:00,,,,,,False,False
ase-94eae60a,CRISTIAN INMACULADA BONET ROCA,1328728463,0983439167,andresciro@example.org,2025-03-08T09:47:46.515327+00:00,,,,,,False,False
ase-173782b4,JOAN ANSELMA AMOR FLOR,0621668732,0999813640,cgimenez@example.net,2025-07-16T09:47:46.515327+00:00,,,,,,False,False
ase-c9619b20,LEOPOLDO NYDIA AGUDO CUERVO,1713999315,0983143890,rnieto@example.org,2025-10-29T09:47:46.515327+00:00,,,,,,False,False
ase-25f6082f,ILDEFONSO MARÍA CARMEN NAVARRO CALATAYUD,1377827638,0980890399,pintocleto@example.com,2025-05-06T09:47:46.515327+00:00,,,,,,False,False
ase-fd189a52,REBECA OMAR LAMAS AROCA,1397226012,0998285201,ycasanovas@example.org,2025-07-18T09:47:46.515327+00:00,,,,,,False,False
ase-2e7c7be3,CARMINA LÁZARO PARDO FERNANDEZ,1370291817,0999772475,arroyogisela@example.org,2025-09-28T09:47:46.515327+00:00,,,,,,False,False
ase-5bfdd26f,MARÍA TERESA LUIS MIGUEL BERNAL GUERRERO,1731429110,0994180586,pintoleopoldo@example.com,2025-08-27T09:47:46.515327+00:00,,,,,,False,False
ase-3f8d9b43,FABIOLA PERLITA PATIÑO CÁNOVAS,1130868105,0987224730,pedro34@example.net,2025-01-23T09:47:46.515327+00:00,,,,,,False,False
ase-9b486855,ISABELA FLORA BELLIDO DONOSO,1823718431,0983112034,fernandosevilla@example.com,2025-08-07T09:47:46.515327+00:00,,,,,,False,False
ase-8ea07ec5,JULIÁN ÁNGELA GIMENEZ MORATA,0958181396,0991541238,grandepaca@example.org,2025-04-14T09:47:46.515327+00:00,,,,,,False,False
ase-ea9c734f,NOA MAXIMIANO QUERO LEAL,1115831819,0995415740,galvanxiomara@example.net,2025-05-19T09:47:46.516322+00:00,,,,,,False,False
ase-7d279619,SARITA LINA MIRANDA GARCIA,0960806024,0982644095,ppriego@example.com,2025-05-11T09:47:46.516322+00:00,,,,,,False,False
ase-47cba42a,ERIC JUAN MANUEL CHAPARRO HUERTA,1194374605,0992134457,margarita96@example.net,2025-04-28T09:47:46.516322+00:00,,,,,,False,False
ase-84a6052c,SABAS PORFIRIO GIMENEZ CHACÓN,1319335534,0981537611,wbou@example.org,2025-03-16T09:47:46.516322+00:00,,,,,,False,False
ase-f3de7758,ROSALINDA DAMIÁN CORONADO CUESTA,1348840994,0982677374,ybartolome@example.com,2025-10-21T09:47:46.516322+00:00,,,,,,False,False
ase-034f98c0,DÉBORA ADELINA ÁNGEL IGLESIAS,0961019678,0989327246,carboisabel@example.net,2025-06-30T09:47:46.516322+00:00,,,,,,False,False
ase-b99e8911,MARICELA JUANITO NIETO CANTÓN,1831831063,0992421212,trinidad27@example.org,2025-08-20T09:47:46.516322+00:00,,,,,,False,False
ase-dc046fd8,LORENZA SARA LAGO VALLE,1399949389,0988958289,anunciacioncamino@example.net,2025-02-23T09:47:46.516322+00:00,,,,,,False,False
ase-0602ac6a,MARC PRUDENCIA VERA FLOR,0991756179,0985742460,raulcuellar@example.net,2025-05-20T09:47:46.516322+00:00,,,,,,False,False
ase-85afe719,MELANIA ÁGATA ABASCAL MORANTE,1331931511,0995510878,haliaga@example.com,2025-08-07T09:47:46.516322+00:00,,,,,,False,False
ase-5263e644,SELENA PAZ MELÉNDEZ HERAS,1195899313,0998688132,hernandoselena@example.net,2025-10-28T09:47:46.516322+00:00,,,,,,False,False
ase-558b2788,CAYETANO CHE TORRE BAYÓN,1817507864,0987685577,eduardotalavera@example.net,2026-02-01T09:47:46.516322+00:00,,,,,,False,False
ase-c8eb26c8,FITO JUAN MANUEL ÁLAMO ROCHA,1863843426,0988983893,ursulafont@example.net,2026-01-15T09:47:46.516322+00:00,,,,,,False,False
ase-bc53ee2a,MATEO SABAS PEREA RÍOS,1386125617,0990558837,pcarrillo@example.org,2025-11-01T09:47:46.516322+00:00,,,,,,False,False
ase-7ff6b07d,BERNARDO NILO ALMAZÁN GRAU,1263100814,0995396513,adrianbelda@example.net,2025-12-06T09:47:46.516322+00:00,,,,,,False,False
ase-dd08c7ca,EVANGELINA BENIGNO GRANADOS BAUZÀ,1128740864,0988275445,murillocalisto@example.net,2025-02-01T09:47:46.516322+00:00,,,,,,False,False
ase-11477fd8,JORDÁN LEÓN TORRALBA GARGALLO,0682340307,0988816145,loretosuarez@example.org,2025-01-31T09:47:46.516322+00:00,,,,,,False,False
ase-7d640347,MILAGROS AINARA RAMÍREZ FALCÓN,0788320463,0993401657,caballerogenoveva@example.com,2025-08-16T09:47:46.516322+00:00,,,,,,False,False
ase-b75a03df,PAULINO TEO REIG SOLERA,1328566572,0997096865,cabellobenjamin@example.com,2025-06-10T09:47:46.516322+00:00,,,,,,False,False
ase-3f074a26,LUISA NORBERTO CANALES IBARRA,0916323852,0983679214,goyosanabria@example.org,2025-12-01T09:47:46.516322+00:00,,,,,,False,False
ase-b3138175,TELMO GERVASIO LOPEZ SEVILLANO,0166661351,0982131636,sandrabenet@example.com,2025-08-04T09:47:46.516322+00:00,,,,,,False,False
ase-282bb35a,NURIA ROSALVA CABAÑAS AYUSO,0789978790,0995705148,buenoangeles@example.org,2025-05-23T09:47:46.516322+00:00,,,,,,False,False
ase-8c0106da,FLAVIO SANTOS TORRALBA TERUEL,1184252722,0980385239,rosauraquero@example.org,2025-03-06T09:47:46.516322+00:00,,,,,,False,False
ase-5b0926b8,FIDEL REYNALDO ABRIL PORTERO,0982070937,0988953167,angeles74@example.com,2025-01-20T09:47:46.516322+00:00,,,,,,False,False
ase-126338bf,JOSEFINA LUPE TORRECILLA CORTINA,1824972279,0989848230,manugelabert@example.org,2025-07-10T09:47:46.516322+00:00,,,,,,False,False
ase-d986069e,CRUZ MAGDALENA BARRERA MIR,0170897765,0980108894,ayllondaniela@example.com,2025-02-13T09:47:46.516322+00:00,,,,,,False,False
ase-31c6476a,ANI ZAIRA CRIADO BARBERÁ,1177187530,0985994562,estevezbruno@example.net,2025-06-03T09:47:46.516322+00:00,,,,,,False,False
ase-af861417,BORJA IMELDA GUTIERREZ QUINTANILLA,0993926371,0990014145,hozcristina@example.net,2025-03-27T09:47:46.516322+00:00,,,,,,False,False
ase-c3a83c2d,ANÍBAL ESTEFANÍA BILBAO RIUS,0691734598,0986674349,juan-carlos35@example.org,2025-12-01T09:47:46.516322+00:00,,,,,,False,False
ase-ac3803ef,JUAN MANUEL RUY CASTRO MARÍN,1831682744,0998098556,wmolina@example.org,2025-01-15T09:47:46.516322+00:00,,,,,,False,False
ase-25e6522d,AGAPITO ÁLVARO CABO BELTRÁN,0610076758,0990876872,antonialara@example.org,2025-06-12T09:47:46.516322+00:00,,,,,,False,False
ase-b31f7d5f,PACO SOCORRO BAYONA HIDALGO,1725014631,0992179613,lucas27@example.net,2025-09-13T09:47:46.516322+00:00,,,,,,False,False
ase-4d159e11,JULIANA MARCIANO ÁNGEL AGUILÓ,1317774584,0988082309,gracia12@example.com,2025-05-03T09:47:46.516322+00:00,,,,,,False,False
ase-fe6128c8,DAVID TANIA CAMPO CORTÉS,0921496211,0996307133,lope93@example.net,2026-01-13T09:47:46.516322+00:00,,,,,,False,False
ase-60d22e7f,OLEGARIO HERMINIO LAGUNA VEGA,0626879290,0984308102,diglesias@example.org,2025-03-17T09:47:46.516322+00:00,,,,,,False,False
ase-f9c773d8,FABIANA TEO LLORET ARREGUI,1283793389,0985540741,mugicamaria-manuela@example.org,2025-10-05T09:47:46.51732+00:00,,,,,,False,False
ase-5fa62831,FEBE JUAN FRANCISCO CUÉLLAR SALA,0691415657,0994198153,hagusti@example.org,2025-11-01T09:47:46.51732+00:00,,,,,,False,False
ase-f5fe996b,SOL JESSICA COMPANY ARAUJO,0636998038,0990459463,dafne82@example.com,2025-07-28T09:47:46.51732+00:00,,,,,,False,False
ase-be22cf57,EDU ARIEL MENDEZ PASTOR,1868800797,0997366963,pallareshumberto@example.net,2025-07-01T09:47:46.51732+00:00,,,,,,False,False
ase-9459f221,JOSEP GRISELDA CALDERON OTERO,0943273328,0987539591,pcortes@example.org,2026-01-16T09:47:46.51732+00:00,,,,,,False,False
ase-54d339c6,NEREIDA OBDULIA ELORZA REVILLA,1812823170,0999740364,escobarmaite@example.com,2025-05-10T09:47:46.51732+00:00,,,,,,False,False
ase-60e01068,MICAELA SERGIO HURTADO LASA,1388979095,0987389269,mirtacampoy@example.com,2026-02-14T09:47:46.51732+00:00,,,,,,False,False
ase-bc58a039,SALUD ANTONIO SOSA GIRÓN,0994705205,0981975475,olgasegui@example.com,2025-10-23T09:47:46.51732+00:00,,,,,,False,False
ase-78ae4740,MARCOS OTILIA GOÑI GISBERT,0914216175,0991087340,ferrandosabas@example.com,2026-01-12T09:47:46.51732+00:00,,,,,,False,False
ase-78f8c76c,LEÓN ROSAURA BAÑOS LORENZO,0641944441,0989344146,felipa86@example.net,2025-03-12T09:47:46.51732+00:00,,,,,,False,False
ase-4d262cc0,PÍA BRUNILDA MUÑOZ AMORÓS,1238754377,0998093688,juliangaspar@example.net,2025-12-12T09:47:46.51732+00:00,,,,,,False,False
ase-9f97f006,JUAN MANUEL ANTONIO CAMPS ROVIRA,1242614537,0995870338,luisina56@example.net,2025-07-24T09:47:46.51732+00:00,,,,,,False,False
ase-b939a293,ARIADNA DAVID PLAZA FALCÓN,1322660194,0983252458,arsenio60@example.net,2025-03-17T09:47:46.51732+00:00,,,,,,False,False
ase-38f33d37,ÁNGELA NOELIA FIGUERAS PASCUAL,0757553014,0994212940,qbecerra@example.com,2025-07-22T09:47:46.51732+00:00,,,,,,False,False
ase-6ec90fc0,ESTRELLA MAURICIO CASANOVAS MAS,1217270733,0983302355,griselda65@example.com,2026-01-17T09:47:46.51732+00:00,,,,,,False,False
ase-b0bfc280,JOSEFINA MANOLO CASTEJÓN FELIU,0755540424,0983666460,rpinilla@example.net,2025-10-13T09:47:46.51732+00:00,,,,,,False,False
ase-9e91a573,VANESA FÉLIX MASCARÓ RAMIS,1335529407,0997994763,mateuluciano@example.org,2025-07-03T09:47:46.51732+00:00,,,,,,False,False
ase-7d16b8bc,TITO MIREIA MONTSERRAT SOLA,0166623995,0986156836,rsalamanca@example.org,2025-09-28T09:47:46.51732+00:00,,,,,,False,False
ase-48d2880a,ARIADNA AINARA DOMÉNECH BLAZQUEZ,1243528453,0982529497,aranzazu95@example.org,2025-07-06T09:47:46.51732+00:00,,,,,,False,False
ase-e2e43669,OLIVIA MARICRUZ GUTIERREZ MENÉNDEZ,0623141087,0981697462,noeliaflor@example.org,2025-03-21T09:47:46.51732+00:00,,,,,,False,False
ase-e7f7b7aa,AMADOR ARTURO HIERRO TALAVERA,0611980765,0983129379,sarabiaseverino@example.net,2025-01-28T09:47:46.51732+00:00,,,,,,False,False
ase-65611d72,CORAL GUIOMAR PLANA URRUTIA,1332321899,0993636992,jhervas@example.net,2025-06-14T09:47:46.51732+00:00,,,,,,False,False
ase-9cbdc03f,JAVIERA ADELARDO CAMPILLO RODRÍGUEZ,1238688676,0993456679,gabrielvillaverde@example.com,2026-01-18T09:47:46.51732+00:00,,,,,,False,False
ase-a95f7b06,AURELIANO CECILIA IBAÑEZ CARRIÓN,0160864911,0980072322,zcanellas@example.com,2025-08-02T09:47:46.51732+00:00,,,,,,False,False
ase-a3a4dcf2,GUADALUPE BERNARDA MOLINS SALAS,1171070189,0989571375,ksalmeron@example.net,2025-07-16T09:47:46.51732+00:00,,,,,,False,False
ase-a506ea08,ROSALVA AITANA SANDOVAL JOVE,0698834863,0996329982,priscilalluch@example.net,2025-11-30T09:47:46.51732+00:00,,,,,,False,False
ase-286757b1,AMADA EUGENIA HARO LLOBET,1349823450,0987304829,tberenguer@example.com,2026-01-19T09:47:46.51732+00:00,,,,,,False,False
ase-b639c3e6,JOEL LALO NARVÁEZ MONTENEGRO,0618181586,0990522831,chaconeutropio@example.org,2026-01-19T09:47:46.51732+00:00,,,,,,False,False
ase-24b65ecd,RODOLFO JOAQUINA COROMINAS GARGALLO,1788406989,0995998367,riberasaturnino@example.com,2025-06-05T09:47:46.51732+00:00,,,,,,False,False
ase-a32d2849,CANDELA ADELAIDA RICART BARRIOS,0631130263,0981908561,pepitarivera@example.com,2025-06-02T09:47:46.51732+00:00,,,,,,False,False
ase-fdc51816,VERÓNICA MARÍA LUISA ALLER PINTOR,0934941004,0982299194,waguado@example.com,2025-04-19T09:47:46.51732+00:00,,,,,,False,False
ase-55254ad5,MARISA ROSARIO RIUS GIMÉNEZ,0941568532,0993548459,rgimenez@example.com,2025-12-18T09:47:46.51732+00:00,,,,,,False,False
ase-f65476a2,AMALIA AMBROSIO PORCEL NAVARRETE,1387701200,0999948752,ddalmau@example.org,2026-01-28T09:47:46.51732+00:00,,,,,,False,False
ase-ca999066,ESTHER BIBIANA AMORES PRADA,0966267415,0999584792,blanesfernanda@example.com,2025-05-04T09:47:46.51732+00:00,,,,,,False,False
ase-4bb66c44,ELPIDIO ROXANA SERRANO ESPADA,0652462441,0988749844,juanreynaldo@example.com,2025-11-05T09:47:46.51832+00:00,,,,,,False,False
ase-def6ef23,HÉCTOR WÁLTER MORILLO NEBOT,1842035886,0988912544,wlobo@example.com,2025-07-30T09:47:46.51832+00:00,,,,,,False,False
ase-5f50b156,JOSÉ ANTONIO PERLITA BILBAO SOSA,0196637649,0990066231,azorinpancho@example.org,2025-06-28T09:47:46.51832+00:00,,,,,,False,False
ase-b1e0a4f5,FLORENTINA BRUNO ARJONA ANGUITA,1819736572,0980312574,heraclioalmagro@example.net,2025-06-28T09:47:46.51832+00:00,,,,,,False,False
ase-399792cc,EZEQUIEL JORGE CASES SÁENZ,0919832887,0998040017,gibertadela@example.net,2025-10-31T09:47:46.51832+00:00,,,,,,False,False
ase-32721d0a,JOSÉ MARÍA MARÍA FERNANDA PEINADO DIEZ,0645594597,0984444504,cespedesmaria@example.org,2025-08-23T09:47:46.51832+00:00,,,,,,False,False
ase-7dd31329,CRISTINA AMANCIO MESA PEREZ,0942787299,0992399271,efiol@example.net,2025-09-25T09:47:46.51832+00:00,,,,,,False,False
ase-3a64ac3a,JESSICA PAULINA HERRERO CAL,0168812137,0998227370,remedios91@example.net,2025-02-22T09:47:46.51832+00:00,,,,,,False,False
ase-28be2752,MICAELA ARIEL OLIVERA ROMERO,1192097999,0997748304,bruno85@example.org,2026-02-13T09:47:46.51832+00:00,,,,,,False,False
ase-12ce05e0,REINA SOSIMO TRILLO CAMACHO,0650181935,0983475786,oparedes@example.com,2025-12-11T09:47:46.51832+00:00,,,,,,False,False
ase-ac8c1ae0,LAURA EZEQUIEL ROZAS ECHEVERRÍA,1125492573,0983591531,encarnacion87@example.com,2025-02-02T09:47:46.51832+00:00,,,,,,False,False
ase-ee62e915,TRISTÁN PAOLA LEDESMA MORA,0630863865,0989138489,paulinabolanos@example.com,2025-09-26T09:47:46.51832+00:00,,,,,,False,False
ase-e19c3a7a,SOCORRO VIRGILIO HERVÁS SOBRINO,1356020613,0986831592,bnavarrete@example.com,2025-03-03T09:47:46.51832+00:00,,,,,,False,False
ase-a0163a7a,RENATA MORENO ESPADA TORRENT,1177834855,0996392408,pedrojordan@example.com,2025-10-12T09:47:46.51832+00:00,,,,,,False,False
ase-ff24c3d1,LINO SILVIA LLORENTE AGUSTÍN,1722388090,0994212844,chehernandez@example.net,2025-09-29T09:47:46.51832+00:00,,,,,,False,False
ase-91ef2c57,SANTOS AMAYA HERNANDEZ TAMAYO,1710475894,0991192300,ysamper@example.org,2025-01-19T09:47:46.51832+00:00,,,,,,False,False
ase-b96b50b2,CIRO MACARIO GIRALT QUIROGA,0195511909,0988789760,marianopeinado@example.com,2025-11-27T09:47:46.51832+00:00,,,,,,False,False
ase-5c2312c0,CAROLINA BERNARDA NÚÑEZ ROIG,1284045292,0994350791,pastor74@example.com,2025-05-06T09:47:46.51832+00:00,,,,,,False,False
ase-8fb07356,JOSÉ JERÓNIMO CARRILLO FERNÁNDEZ,1725015458,0982524764,dimas82@example.org,2025-03-01T09:47:46.51832+00:00,,,,,,False,False
ase-fab936cc,INOCENCIO MAMEN TOMÉ LLORET,0183227889,0981208903,cornelio34@example.org,2025-08-12T09:47:46.51832+00:00,,,,,,False,False
ase-5f9be591,PONCIO GASTÓN MATE ALCALÁ,0629876811,0994421249,leocadioarroyo@example.org,2025-12-14T09:47:46.51832+00:00,,,,,,False,False
ase-9ccf8967,CAROLINA LUÍS CASES TUDELA,1751373735,0992235674,alberolaconsuela@example.com,2026-01-28T09:47:46.51832+00:00,,,,,,False,False
ase-6f853419,ADORA ALEJANDRA SAEZ NIÑO,1838195995,0988372828,aurelioiriarte@example.com,2025-03-13T09:47:46.51832+00:00,,,,,,False,False
ase-fc579b14,DANILO PACA BAS PÉREZ,0957469942,0998786573,kbenavent@example.net,2025-07-24T09:47:46.51832+00:00,,,,,,False,False
ase-fba8c585,ITZIAR BALDUINO CORDERO COMPANY,0141774346,0985452654,che31@example.net,2025-11-19T09:47:46.51832+00:00,,,,,,False,False
ase-a99a61f6,MARÍA CRISTINA SIGFRIDO GONZALEZ YÁÑEZ,0713326769,0986018345,csanjuan@example.com,2025-02-05T09:47:46.51832+00:00,,,,,,False,False
ase-a94a1334,ROSALINA DIONISIA ROMEU MAYORAL,1865259205,0988327110,cabezasmaria-carmen@example.org,2025-10-04T09:47:46.51832+00:00,,,,,,False,False
ase-fb48104d,EUFEMIA HÉCTOR LAMAS BERTRÁN,0124508349,0992835970,joseduran@example.net,2026-01-29T09:47:46.51832+00:00,,,,,,False,False
ase-10438810,CARLITO FAUSTINO ACEDO REAL,1239854548,0986696552,ssoriano@example.org,2025-06-27T09:47:46.51832+00:00,,,,,,False,False
ase-acbc2186,JESÚS LUIS LUNA SANTIAGO,1850962024,0987636837,guillenambar@example.com,2025-10-26T09:47:46.51832+00:00,,,,,,False,False
ase-11873a37,MIRTA MÁXIMA FIGUEROLA RODRÍGUEZ,1798588154,0986480360,gomilaflora@example.org,2025-07-28T09:47:46.51832+00:00,,,,,,False,False
ase-d57389a2,VIOLETA JUAN PABLO CISNEROS BELLIDO,1847393469,0982329373,dazamonica@example.com,2025-01-18T09:47:46.51832+00:00,,,,,,False,False
ase-35988328,DULCE MARIANELA MALO SAAVEDRA,1157130035,0997092818,solisjennifer@example.com,2025-07-28T09:47:46.51832+00:00,,,,,,False,False
ase-c169375a,JUANA SAMUEL LLADÓ VALL,0654446182,0980926120,frio@example.net,2025-12-20T09:47:46.51832+00:00,,,,,,False,False
ase-d1e1cada,ANÍBAL TAMARA ROSALES MORA,1133966966,0999481358,amancio13@example.net,2025-10-05T09:47:46.51832+00:00,,,,,,False,False
